Index Name,1M,3M,1Y,3Y,5Y,V1Y,Beta1Y,Corr1Y,R21Y,PE,PB,DivY
NIFTY 50,0.94,6.25,13.48,15.65,9.39,13.77,1,1,1,28.3,3.75,1.24
NIFTY Next 50,-0.84,3.05,1.62,11.41,10.13,15.1,0.95,0.87,0.75,65.43,3.86,1.15
NIFTY 100,0.71,5.84,11.83,15.08,9.59,13.73,0.99,1,0.99,30.68,3.76,1.23
NIFTY 200,0.56,5.94,10.03,14.28,9.25,13.82,1,0.99,0.99,29.95,3.59,1.21
NIFTY 500,0.61,5.87,8.97,13.65,9.11,13.6,0.98,0.99,0.98,30.84,3.45,1.2
NIFTY Midcap 150,0,7,0.62,11.04,9.86,14.71,0.92,0.86,0.74,27.13,2.98,0.99
NIFTY Midcap 50,-0.45,7.07,-3.67,9.72,8.08,18.92,1.18,0.86,0.73,23.44,2.16,1.34
NIFTY Smallcap 250,0.56,3.99,-7.26,2.77,4.13,15.26,0.86,0.78,0.61,49.53,1.87,1.24
NIFTY Smallcap 50,0.65,5.14,-10.39,-1.97,-0.21,18.33,1.05,0.79,0.62,22.73,1.86,1.08
NIFTY LargeMidcap 250,0.37,6.44,6.03,13.15,9.84,13.79,0.96,0.96,0.91,28.73,3.32,1.11
NIFTY MidSmallcap 400,0.17,6.04,-1.99,8.28,7.97,14.6,0.9,0.85,0.72,31.56,2.51,1.07
NIFTY Midcap 100,-0.69,6.8,-3.4,7.19,7.5,16.38,1.02,0.85,0.73,24.95,2.59,1.11
NIFTY Smallcap 100,0.34,4.46,-8.54,1.64,3.23,17.22,0.99,0.79,0.63,,2.03,1.21
NIFTY Commodities,0.01,3.62,2.07,6.85,7.54,18.99,1.15,0.83,0.69,13.74,1.6,3
NIFTY CPSE,-0.36,-1.41,-3.52,-2.26,-1.28,21.41,0.96,0.62,0.38,8.76,1.29,5.32
NIFTY Energy,-2,2.62,13.31,18.23,15.23,18.79,0.98,0.72,0.51,12.42,1.64,3.25
NIFTY India Consumption,-0.75,0.14,0.55,13.43,9.43,14.77,0.92,0.86,0.74,54.78,5.81,1.13
NIFTY Infrastructure,-2.03,1.53,4.49,8.16,3,17.2,1,0.8,0.64,24.14,2.38,1.89
NIFTY MNC,0.11,2.51,0.22,14.4,10.71,15.31,0.95,0.85,0.73,,4.06,1.85
NIFTY PSE,-1.07,-0.53,-1.41,-0.62,1.6,19.29,0.96,0.69,0.47,9.81,1.36,4.59
NIFTY Services Sector,2.28,8.27,18.32,20.22,11.74,14.32,0.99,0.95,0.91,32.39,4.15,1.04
NIFTY100 Liquid 15,0.4,10.29,1.72,5.29,1.66,22.31,1.41,0.87,0.75,21.84,2.04,1.54
NIFTY Midcap Liquid 15,-0.57,8.43,-0.88,11.54,6.95,18.86,1.11,0.81,0.66,20.3,2.38,1.45
NIFTY Aditya Birla Group,-3.01,1.38,-14.16,-3.18,-1.3,25.33,1.33,0.72,0.52,,1.48,0.35
NIFTY Mahindra Group,-0.37,1.32,-18.62,5.76,1.09,18.53,0.96,0.71,0.51,15.56,2.62,1.69
NIFTY Tata Group,4.77,6.38,15.32,17.11,9.31,17.9,0.56,0.43,0.18,24.32,5.32,1.09
NIFTY Tata Group 25% Cap,4.36,9.47,11.57,9.1,5.21,18.06,0.98,0.75,0.56,21.45,2.76,0.88
NIFTY Shariah 25,-0.55,0.29,4.01,11.59,8.69,13.96,0.89,0.88,0.77,25.39,3.99,1.59
NIFTY50 Shariah,1.67,-0.45,5.61,11.64,8.43,12.83,0.66,0.71,0.51,24.17,4.44,2.07
NIFTY500 Shariah,0.99,0.77,2.68,11.2,9.11,11.64,0.72,0.85,0.72,25.72,4.34,1.63
NIFTY SME EMERGE,0.93,-1.22,-12.3,8.29,,7.45,0.22,0.41,0.17,13.56,1.29,0.37
NIFTY100 ESG,0.95,6.21,12.28,16.36,10.32,13.64,0.98,0.99,0.98,31.35,4.06,1.11
NIFTY100 Enhanced ESG,0.88,5.61,11.48,16.22,10.42,13.66,0.98,0.99,0.98,31.36,4.08,1.13
NIFTY Alpha 50,2.35,5.46,7.83,16.53,10.66,14,0.88,0.86,0.74,35.82,6.56,0.5
NIFTY Alpha Low-Volatility 30,0.7,1.71,5.26,16.53,14.58,11.43,0.79,0.95,0.91,29.35,5.44,1.15
NIFTY Alpha Quality Low-Volatility 30,0.87,1.52,3.95,13.6,11.62,11.73,0.75,0.88,0.77,30.28,7.67,1.25
NIFTY Alpha Quality Value Low-Volatility,0.52,0.34,4.05,12.71,10.98,10.88,0.7,0.89,0.79,20.12,4.19,2.09
NIFTY Dividend Opportunities 50,-0.09,-0.61,0.75,9.58,6.18,12,0.75,0.86,0.74,14.66,2.35,3.77
NIFTY Growth Sectors 15,0.24,4.59,-0.12,8.48,7.26,17.12,1.08,0.87,0.75,31.55,6.53,0.83
NIFTY High Beta 50,-1.14,12.27,-17.76,-1.44,-4.74,26.85,1.57,0.8,0.65,,1.14,1.56
NIFTY Low Volatility 50,0.05,3.56,6.6,12.49,10.51,11.83,0.8,0.93,0.87,22.94,3.95,1.56
NIFTY100 Quality 30,0.65,0.99,5.7,11.05,7.7,13.56,0.89,0.9,0.82,27.32,7.2,1.72
