Symbol,Series,Date,Prev Close,Open,High,Low,Last,Close,Average,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,dly
TATAMOTORS,EQ,1-Jan-20,185.15,185.15,186.7,183.6,184.25,184.45,185.11,25968357,4806946140,99072,1878537,7.23
TATAMOTORS,EQ,2-Jan-20,184.45,185,194.7,184.6,193.85,193.75,190.57,57289863,10917548856,251258,9368491,16.35
TATAMOTORS,EQ,3-Jan-20,193.75,192.9,195.65,189.25,191.25,191.1,192,47572728,9134139873,185614,4181757,8.79
TATAMOTORS,EQ,6-Jan-20,191.1,191,191,185.05,185.4,185.65,187.3,28621212,5360800535,138113,3848110,13.44
TATAMOTORS,EQ,7-Jan-20,185.65,187,189.4,182.3,184.35,184.7,185.41,34995035,6488309028,133404,3453069,9.87
TATAMOTORS,EQ,8-Jan-20,184.7,180.2,184.2,180.2,182.75,182.55,182.39,21862695,3987542675,96592,2366695,10.83
TATAMOTORS,EQ,9-Jan-20,182.55,184.85,192.75,184.25,192.4,192,189.24,40803142,7721516796,169349,4419385,10.83
TATAMOTORS,EQ,10-Jan-20,192,192,199,190,194.25,196.35,193.86,60252338,11680458448,233758,6153112,10.21
TATAMOTORS,EQ,13-Jan-20,196.35,194.75,197.75,191.4,195.9,196.25,194.56,40535961,7886857391,153824,7702853,19
TATAMOTORS,EQ,14-Jan-20,196.25,195.7,198.25,193.6,195.2,195.85,196.42,29867542,5866692361,121231,2349518,7.87
TATAMOTORS,EQ,15-Jan-20,195.85,195,201.7,194,199.7,200.35,198.74,38485962,7648601827,164803,3118661,8.1
TATAMOTORS,EQ,16-Jan-20,200.35,199.5,200.6,196.9,197.25,197.55,198.68,28118140,5586488029,143016,3114624,11.08
TATAMOTORS,EQ,17-Jan-20,197.55,197.25,199.45,195.7,196.7,197.3,198.1,18204088,3606175524,90448,1075718,5.91
TATAMOTORS,EQ,20-Jan-20,197.3,198,201.45,194.3,195.55,195,197.2,28976013,5714078438,124160,2721775,9.39
TATAMOTORS,EQ,21-Jan-20,195,195.5,196.4,190.2,190.25,191.4,193.54,20859400,4037092242,101560,2045869,9.81
TATAMOTORS,EQ,22-Jan-20,191.4,191.95,192.5,184.25,185.6,185.6,186.78,32952072,6154945526,147905,4602385,13.97
TATAMOTORS,EQ,23-Jan-20,185.6,186.75,190.4,183.8,188.1,188.4,187.77,33032086,6202432631,141362,2724024,8.25
TATAMOTORS,EQ,24-Jan-20,188.4,188,191,185,186.9,186.5,188.92,21791825,4116893852,103503,3178972,14.59
TATAMOTORS,EQ,27-Jan-20,186.5,185.7,186.9,180.85,182.35,182.2,183.6,30132428,5532277345,135488,5101016,16.93
TATAMOTORS,EQ,28-Jan-20,182.2,183.9,184.3,174.9,176.4,176.1,179.62,38283588,6876401466,189737,8739649,22.83
TATAMOTORS,EQ,29-Jan-20,176.1,178.8,188.9,178.55,188.1,188.05,184.96,61585660,11391013391,283929,6663303,10.82
TATAMOTORS,EQ,30-Jan-20,188.05,190.95,192.55,184.25,186.3,186.2,188.16,70900581,13340638383,291552,7218067,10.18
TATAMOTORS,EQ,31-Jan-20,186.2,186.3,188.35,175.95,176.9,176.6,180.14,75621897,13622583612,308408,9868706,13.05
TATAMOTORS,EQ,1-Feb-20,176.6,175.4,178.8,163.7,165.4,165.6,172.07,42515114,7315732245,233423,5781201,13.6
TATAMOTORS,EQ,3-Feb-20,165.6,163.5,168.3,159.55,164.4,163.85,163.79,66616190,10911302309,311155,6577664,9.87
TATAMOTORS,EQ,4-Feb-20,163.85,166.55,168.6,161.2,166.35,165.7,165.32,49034642,8106525606,224465,5286416,10.78
TATAMOTORS,EQ,5-Feb-20,165.7,167.4,184.95,166.6,183.4,183.75,177.48,92982265,16502392134,357445,9596603,10.32
TATAMOTORS,EQ,6-Feb-20,183.75,182,183.4,175.75,178.5,178.85,179.03,61821140,11067757265,256544,6854219,11.09
