Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","7,848.30","8,036.95","7,511.10","7,924.00","313.75","4.12","4,764.19","17,866.91","12,430.50","7,583.60","-30.21","-33.01"
"BRITANNIA","2,117.00","2,450.00","2,111.90","2,404.30","266.45","12.46","6.59","153.57","3,583.75","2,100.00","-22.21","-20.81"
"BAJFINANCE","2,472.00","2,568.65","2,104.65","2,525.50","259.35","11.44","44.61","1,041.97","4,923.40","2,104.65","-11.38","-47.43"
"ADANIPORTS","216.00","233.85","212.60","230.70","22.90","11.02","46.56","104.34","430.60","203.00","-36.16","-36.31"
"INFY","522.00","579.05","522.00","573.50","47.05","8.94","114.96","649.56","847.00","509.25","-22.00","-27.94"
"HINDUNILVR","1,975.00","2,056.65","1,930.00","2,021.80","152.10","8.13","35.61","712.03","2,308.20","1,650.00","20.79","-8.73"
"HCLTECH","413.00","458.85","411.85","449.55","32.40","7.77","54.43","239.58","623.50","375.25","-55.82","-24.46"
"HEROMOTOCO","1,650.00","1,754.10","1,475.00","1,740.50","124.50","7.70","11.43","185.12","3,022.90","1,475.00","-32.43","-20.31"
"RELIANCE","930.00","970.00","895.80","949.90","65.85","7.45","118.00","1,089.17","1,617.55","875.65","-28.28","-34.26"
"CIPLA","380.00","409.75","380.00","400.90","25.65","6.84","34.90","139.29","586.00","355.30","-23.91","-6.80"
"UPL","265.50","277.00","249.50","271.90","17.30","6.79","27.07","71.89","709.05","240.15","-70.21","-52.57"
"MARUTI","4,341.00","4,489.40","4,030.00","4,486.00","265.65","6.29","11.10","476.88","7,758.70","4,030.00","-31.22","-30.67"
"ONGC","63.50","64.70","60.10","64.15","3.75","6.21","289.96","179.57","178.90","50.00","-59.57","-34.57"
"TITAN","805.25","857.85","720.90","850.55","49.60","6.19","39.82","311.24","1,389.95","720.90","-22.68","-33.55"
"SUNPHARMA","330.00","347.75","330.00","343.15","18.65","5.75","36.66","124.62","484.25","315.05","-26.15","-13.75"
"EICHERMOT","14,000.00","14,555.00","13,880.00","14,489.75","783.85","5.72","0.70","99.59","23,450.00","13,326.70","-31.49","-19.28"
"NESTLEIND","13,889.00","13,889.00","12,850.00","13,631.10","686.45","5.30","1.61","216.92","16,835.15","10,120.05","29.47","-16.56"
"KOTAKBANK","1,153.15","1,177.70","1,041.10","1,154.25","56.00","5.10","49.96","553.99","1,740.00","1,001.00","-11.80","-31.22"
"TATAMOTORS","69.90","71.50","63.50","69.35","3.15","4.76","348.94","235.71","239.35","63.50","-59.52","-53.97"
"ICICIBANK","295.30","299.00","268.30","297.30","13.30","4.68","407.72","1,161.52","552.20","268.30","-22.48","-43.89"
"HDFC","1,554.00","1,615.95","1,473.45","1,591.60","70.90","4.66","47.65","737.51","2,499.90","1,473.45","-18.20","-30.57"
"WIPRO","168.50","180.05","168.05","177.75","7.60","4.47","35.68","62.74","301.60","159.40","-30.70","-27.21"
"TECHM","487.00","533.95","487.00","507.35","20.15","4.14","23.41","119.05","846.50","471.40","-35.75","-38.14"
"BAJAJ-AUTO","2,000.00","2,057.90","1,788.65","2,015.30","79.75","4.12","8.88","168.69","3,315.15","1,788.65","-31.87","-32.38"
"ASIANPAINT","1,556.55","1,598.00","1,453.25","1,560.00","61.55","4.11","26.00","399.64","1,916.70","1,291.25","7.03","-14.24"
"SBIN","190.95","191.95","173.55","188.85","7.25","3.99","455.14","832.58","373.80","173.55","-35.77","-41.52"
"DRREDDY","2,850.00","2,960.00","2,801.10","2,876.75","108.35","3.91","6.14","175.66","3,364.95","2,351.20","3.44","-9.43"
"VEDL","67.50","68.45","62.70","65.00","2.35","3.75","197.40","128.33","195.10","61.65","-61.37","-51.20"
"BAJAJFINSV","4,900.00","5,080.00","4,160.25","4,777.55","156.50","3.39","11.16","506.92","9,950.00","4,160.25","-30.93","-49.53"
"COALINDIA","129.25","135.00","128.00","131.80","3.95","3.09","58.80","77.08","271.45","120.05","-44.44","-24.62"
"BHARTIARTL","410.90","437.85","400.15","419.90","12.55","3.08","79.66","330.38","568.85","291.51","28.41","-20.76"
"TCS","1,653.05","1,770.00","1,632.85","1,715.55","45.85","2.75","39.62","679.44","2,296.20","1,506.05","-13.54","-18.90"
"ULTRACEMCO","3,100.00","3,237.20","3,013.65","3,135.00","80.15","2.62","7.35","228.26","4,904.95","2,955.60","-19.01","-28.67"
"JSWSTEEL","149.25","155.00","140.35","148.15","3.75","2.60","33.18","48.71","314.00","136.10","-46.86","-42.79"
"TATASTEEL","277.05","285.65","258.60","276.95","5.80","2.14","94.28","253.49","561.65","253.55","-46.24","-33.34"
"HDFCBANK","795.25","810.00","738.75","785.50","13.95","1.81","197.98","1,531.40","1,305.50","738.75","-65.57","-35.08"
