Date,p,v,pADANIPORTS,vADANIPORTS,pASIANPAINT,vASIANPAINT,pAXISBANK,vAXISBANK,pBAJAJ-AUTO,vBAJAJ-AUTO,pBAJFINANCE,vBAJFINANCE,pBAJAJFINSV,vBAJAJFINSV,pBPCL,vBPCL,pBHARTIARTL,vBHARTIARTL,pINFRATEL,vINFRATEL,pBRITANNIA,vBRITANNIA,pCIPLA,vCIPLA,pCOALINDIA,vCOALINDIA
1/2/2009,3046.75,0,59.31194687,845745,48.66062927,45390,71.13780212,14261265,,,2.644001722,141738,152.6097107,25548,23.78535652,3655302,303.8804626,8456945,,,72.23255157,5730,180.0514069,699934,,
1/5/2009,3121.449951,0,69.90305328,7391260,49.35077286,83290,73.52698517,9165605,,,2.725419283,1120575,160.2407379,13130,23.49102211,5697840,295.5822449,11968069,,,73.10939789,23660,179.4405823,769893,,
1/6/2009,3112.800049,0,70.76249695,6701300,49.51252747,25430,74.79380035,12893855,,,2.790551186,312830,168.2571716,133542,24.42637444,6507708,283.2312622,17221142,,,72.98413849,11320,181.3200378,1454055,,
1/7/2009,2920.399902,0,63.03630066,3134815,48.10526657,107380,68.53855896,10571555,,,2.576833248,166224,170.2371826,134304,24.06006622,3325206,280.2131958,16501626,,,70.33174896,61840,174.6949615,1050320,,
1/9/2009,2873,0,60.52056122,1145965,47.46635056,155750,63.87830353,25173105,,,2.534087896,95906,174.5836029,33293,24.89729881,5504634,275.4279785,16001263,,,68.89662933,499570,177.4671478,2172087,,
1/12/2009,2773.100098,0,66.22344971,4197475,47.93812561,36040,59.29681015,22546950,,,2.468956232,51504,182.8900299,41061,23.86058617,5498802,268.9401855,8955526,,,69.71087646,118380,175.8226318,1451209,,
1/13/2009,2744.949951,0,62.62445068,3005700,49.19171143,65800,57.80028534,15257915,,,2.432319403,44896,192.0665131,29619,24.55392075,4111668,261.6975098,10685166,,,69.9723053,9980,174.1781158,901712,,
1/14/2009,2835.300049,0,68.89138794,2716150,49.36156082,14680,58.99488068,12034855,,,2.485237837,38195,201.6765747,7329,24.47867966,2851326,268.4660034,8264786,,,70.8055954,3620,176.6213989,854608,,
1/15/2009,2736.699951,0,66.8053894,1308450,50.13795853,60110,56.97980881,11930135,,,2.430283785,529045,191.631958,162652,24.62910843,3355086,260.23172,9305371,,,70.88728333,8400,170.983078,1173467,,
1/16/2009,2828.449951,0,67.22616577,1114925,49.46669006,92050,58.22691345,9286470,,,2.434356213,651443,182.0691071,12011,25.19815063,3905910,273.6391296,6893783,,,70.85733032,6040,172.1576996,354218,,
