my50,next50,nifty50,nifty1,nifty2,nifty3,nifty4,nifty5,nifty6,nifty7,nifty8,nifty9,nifty10,fo1,fo2,gpr1
DMART.NS,ACC.NS,MARUTI.NS,3MINDIA.NS,BALKRISIND.NS,CUB.NS,GAIL.NS,HINDZINC.NS,JAGRAN.NS,M&MFIN.NS,PTC.NS,SHILPAMED.NS,TEAMLEASE.NS,ACC.NS,MRF.NS,ULTRACEMCO
GMMPFAUDLR.NS,ADANITRANS.NS,M&M.NS,ACC.NS,BALMLAWRIE.NS,COALINDIA.NS,GEPIL.NS,HONAUT.NS,JAICORPLTD.NS,M&M.NS,PVR.NS,SHOPERSTOP.NS,TECHM.NS,AMBUJACEM.NS,SRF.NS,SHREECEM
PVR.NS,AMBUJACEM.NS,BAJAJ-AUTO.NS,AIAENG.NS,BALRAMCHIN.NS,COCHINSHIP.NS,GET&D.NS,HUDCO.NS,JISLJALEQS.NS,MAHINDCIE.NS,PAGEIND.NS,SHREECEM.NS,TECHNOE.NS,CENTURYTEX.NS,TVSMOTOR.NS,ACC
BATAINDIA.NS,ASHOKLEY.NS,HEROMOTOCO.NS,APLAPOLLO.NS,BANDHANBNK.NS,COLPAL.NS,GHCL.NS,HDFC.NS,J&KBANK.NS,MHRIL.NS,PARAGMILK.NS,RENUKA.NS,NIACL.NS,DLF.NS,APOLLOHOSP.NS,AMBUJACEM
RELAXO.NS,AUROPHARMA.NS,EICHERMOT.NS,AUBANK.NS,BANKBARODA.NS,CONCOR.NS,GMRINFRA.NS,ICICIBANK.NS,JAMNAAUTO.NS,MAHLOG.NS,PERSISTENT.NS,SHRIRAMCIT.NS,RAMCOCEM.NS,GMRINFRA.NS,AUROPHARMA.NS,VEDL
POLYCAB.NS,DMART.NS,TATAMOTORS.NS,AARTIIND.NS,BANKINDIA.NS,COROMANDEL.NS,GALAXYSURF.NS,ICICIGI.NS,JINDALSAW.NS,MANAPPURAM.NS,PETRONET.NS,SRTRANSFIN.NS,THERMAX.NS,NATIONALUM.NS,BIOCON.NS,JSWSTEEL
IGL.NS,BAJAJHLDNG.NS,HDFCBANK.NS,AAVAS.NS,MAHABANK.NS,CREDITACC.NS,GARFIBRES.NS,ICICIPRULI.NS,JSLHISAR.NS,MRPL.NS,PFIZER.NS,SIEMENS.NS,THYROCARE.NS,JINDALSTEL.NS,CADILAHC.NS,TATASTEEL
AEGISCHEM.NS,BANDHANBNK.NS,ICICIBANK.NS,ABBOTINDIA.NS,BATAINDIA.NS,CROMPTON.NS,GAYAPROJ.NS,ISEC.NS,JSL.NS,MARICO.NS,PHILIPCARB.NS,SOBHA.NS,TIMETECHNO.NS,NCC.NS,DIVISLAB.NS,HINDALCO
JUBILANT.NS,BANKBARODA.NS,KOTAKBANK.NS,ADANIGAS.NS,BAYERCROP.NS,CUMMINSIND.NS,GICRE.NS,ICRA.NS,JINDALSTEL.NS,MARUTI.NS,PHOENIXLTD.NS,SOLARINDS.NS,TIMKEN.NS,NMDC.NS,GLENMARK.NS,LT
AVANTIFEED.NS,BERGEPAINT.NS,AXISBANK.NS,ADANIGREEN.NS,BERGEPAINT.NS,CYIENT.NS,GILLETTE.NS,IDBI.NS,JCHAC.NS,MFSL.NS,PIDILITIND.NS,SONATSOFTW.NS,TITAN.NS,RAMCOCEM.NS,PEL.NS,ADANIPORTS
RADICO.NS,BIOCON.NS,SBIN.NS,ADANIPORTS.NS,BDL.NS,DBCORP.NS,GLAXO.NS,IDFCFIRSTB.NS,JUBLFOOD.NS,METROPOLIS.NS,PEL.NS,SOUTHBANK.NS,TORNTPHARM.NS,SAIL.NS,TORNTPHARM.NS,NTPC
ABBOTINDIA.NS,BOSCHLTD.NS,INDUSINDBK.NS,ADANIPOWER.NS,BEL.NS,DCBBANK.NS,GLENMARK.NS,IDFC.NS,JUBILANT.NS,MINDTREE.NS,POLYCAB.NS,SPANDANA.NS,TORNTPOWER.NS,BANDHANBNK.NS,ADANIPOWER.NS,POWERGRID
LALPATHLAB.NS,CADILAHC.NS,HDFC.NS,ADANITRANS.NS,BHARATFORG.NS,DCMSHRIRAM.NS,GODFRYPHLP.NS,IFBIND.NS,JUSTDIAL.NS,MINDACORP.NS,PFC.NS,SPICEJET.NS,TRENT.NS,BANKBARODA.NS,BEL.NS,ONGC
GRANULES.NS,COLPAL.NS,BAJFINANCE.NS,ABCAPITAL.NS,BHEL.NS,DLF.NS,GODREJAGRO.NS,IFCI.NS,JYOTHYLAB.NS,MINDAIND.NS,POWERGRID.NS,STARCEMENT.NS,TRIDENT.NS,CANBK.NS,BHEL.NS,GAIL
RITES.NS,CONCOR.NS,BAJAJFINSV.NS,ABFRL.NS,BPCL.NS,DABUR.NS,GODREJCP.NS,IIFL.NS,KPRMILL.NS,MIDHANI.NS,PRAJIND.NS,SBIN.NS,TRITURBINE.NS,CHOLAFIN.NS,CESC.NS,BPCL
ASTRAL.NS,DLF.NS,RELIANCE.NS,ADVENZYMES.NS,BHARTIARTL.NS,DALBHARAT.NS,GODREJIND.NS,IRB.NS,KEI.NS,MOTHERSUMI.NS,PRESTIGE.NS,SAIL.NS,TIINDIA.NS,EQUITAS.NS,HAVELLS.NS,HINDPETRO
NAUKRI.NS,DABUR.NS,BPCL.NS,AEGISCHEM.NS,INFRATEL.NS,DEEPAKNTR.NS,GODREJPROP.NS,IRCON.NS,KNRCON.NS,MOTILALOFS.NS,PRSMJOHNSN.NS,SWSOLAR.NS,UCOBANK.NS,FEDERALBNK.NS,HINDPETRO.NS,MINDAIND
AFFLE.NS,DIVISLAB.NS,ONGC.NS,AFFLE.NS,BIOCON.NS,DELTACORP.NS,GRANULES.NS,ITC.NS,KPITTECH.NS,MPHASIS.NS,PGHL.NS,STRTECH.NS,UFLEX.NS,IBULHSGFIN.NS,IDEA.NS,MOTHERSUMI
TRENT.NS,GICRE.NS,IOC.NS,AJANTPHARM.NS,BIRLACORPN.NS,DHFL.NS,GRAPHITE.NS,ITDCEM.NS,KRBL.NS,MCX.NS,PGHH.NS,STAR.NS,UPL.NS,ICICIPRULI.NS,MGL.NS,BHARATFORG
IRCTC.NS,GODREJCP.NS,GAIL.NS,AKZOINDIA.NS,BSOFT.NS,DBL.NS,GRASIM.NS,ITI.NS,KAJARIACER.NS,MUTHOOTFIN.NS,PNB.NS,SUDARSCHEM.NS,UJJIVAN.NS,IDFCFIRSTB.NS,OIL.NS,MARUTI
PGHL.NS,HDFCAMC.NS,UPL.NS,APLLTD.NS,BLISSGVS.NS,DISHTV.NS,GESHIP.NS,INDIACEM.NS,KALPATPOWR.NS,NATCOPHARM.NS,QUESS.NS,SPARC.NS,ULTRACEMCO.NS,L&TFH.NS,PFC.NS,
